GAME_NUM,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
1,23.142857142857142,24.047619047619047,26.428571428571427,23.285714285714285,24.571428571428573,23.761904761904763,28.285714285714285,23.571428571428573,23.238095238095237,27.904761904761905,29.571428571428573,24.761904761904763,24.047619047619047,23.285714285714285,23.38095238095238,21.38095238095238,24.095238095238095,23.0,22.285714285714285,26.19047619047619,25.142857142857142,23.571428571428573,23.476190476190474,25.857142857142858,24.333333333333332,23.095238095238095,23.428571428571427,24.61904761904762,20.761904761904763,22.904761904761905
2,23.904761904761905,25.38095238095238,24.428571428571427,22.666666666666668,24.666666666666668,23.761904761904763,27.952380952380953,23.095238095238095,22.857142857142858,27.047619047619047,29.142857142857142,24.047619047619047,24.523809523809526,24.761904761904763,23.666666666666668,24.952380952380953,27.095238095238095,22.428571428571427,23.761904761904763,25.857142857142858,24.80952380952381,24.61904761904762,21.19047619047619,25.476190476190474,24.904761904761905,22.523809523809526,22.952380952380953,25.61904761904762,24.142857142857142,24.476190476190474
3,25.952380952380953,25.047619047619047,27.904761904761905,23.761904761904763,23.38095238095238,24.19047619047619,28.904761904761905,23.333333333333332,22.904761904761905,27.952380952380953,29.952380952380953,25.142857142857142,22.761904761904763,25.142857142857142,22.19047619047619,25.285714285714285,23.80952380952381,23.857142857142858,23.952380952380953,26.571428571428573,24.904761904761905,27.333333333333332,23.285714285714285,28.61904761904762,24.80952380952381,23.285714285714285,23.142857142857142,25.19047619047619,22.571428571428573,25.333333333333332
4,25.0,24.476190476190474,26.047619047619047,24.047619047619047,21.19047619047619,23.857142857142858,28.095238095238095,23.952380952380953,21.285714285714285,29.142857142857142,31.285714285714285,24.571428571428573,24.0,23.61904761904762,23.904761904761905,25.714285714285715,26.333333333333332,23.333333333333332,24.142857142857142,23.61904761904762,25.761904761904763,25.428571428571427,23.80952380952381,26.666666666666668,25.333333333333332,23.666666666666668,20.571428571428573,26.0,24.0,24.61904761904762
5,23.857142857142858,27.952380952380953,25.523809523809526,23.19047619047619,23.38095238095238,24.666666666666668,26.857142857142858,22.571428571428573,25.095238095238095,26.428571428571427,30.476190476190474,27.047619047619047,22.38095238095238,23.428571428571427,24.523809523809526,25.047619047619047,26.904761904761905,22.571428571428573,25.095238095238095,26.285714285714285,23.80952380952381,25.047619047619047,24.38095238095238,25.714285714285715,25.142857142857142,23.095238095238095,24.904761904761905,23.904761904761905,22.666666666666668,24.333333333333332
6,24.571428571428573,26.428571428571427,24.80952380952381,22.61904761904762,22.714285714285715,27.047619047619047,26.904761904761905,24.0,22.714285714285715,29.80952380952381,29.571428571428573,24.285714285714285,21.285714285714285,24.571428571428573,22.476190476190474,24.761904761904763,25.571428571428573,24.666666666666668,24.523809523809526,25.047619047619047,23.523809523809526,25.714285714285715,25.571428571428573,27.047619047619047,24.904761904761905,24.428571428571427,23.142857142857142,26.428571428571427,24.095238095238095,24.761904761904763
7,24.61904761904762,23.952380952380953,25.0,22.761904761904763,22.428571428571427,26.095238095238095,26.666666666666668,23.61904761904762,22.666666666666668,27.285714285714285,29.904761904761905,25.285714285714285,23.61904761904762,23.904761904761905,21.333333333333332,23.857142857142858,24.761904761904763,23.904761904761905,22.80952380952381,24.476190476190474,24.238095238095237,23.476190476190474,23.61904761904762,26.714285714285715,26.095238095238095,24.761904761904763,25.904761904761905,26.095238095238095,24.19047619047619,24.857142857142858
8,25.095238095238095,24.666666666666668,25.80952380952381,22.38095238095238,24.952380952380953,22.285714285714285,25.761904761904763,24.571428571428573,24.19047619047619,28.333333333333332,27.952380952380953,22.428571428571427,22.952380952380953,22.61904761904762,20.476190476190474,27.142857142857142,24.333333333333332,23.476190476190474,24.095238095238095,26.142857142857142,24.142857142857142,23.333333333333332,23.476190476190474,26.61904761904762,25.095238095238095,24.476190476190474,23.095238095238095,24.80952380952381,24.285714285714285,21.428571428571427
9,26.428571428571427,24.952380952380953,27.38095238095238,25.238095238095237,20.904761904761905,23.952380952380953,25.904761904761905,24.047619047619047,22.523809523809526,28.666666666666668,30.523809523809526,24.666666666666668,23.80952380952381,22.333333333333332,23.0,24.142857142857142,24.80952380952381,24.761904761904763,20.857142857142858,24.571428571428573,24.285714285714285,24.857142857142858,22.0,28.80952380952381,24.523809523809526,23.523809523809526,23.666666666666668,24.857142857142858,23.0,22.0
10,24.047619047619047,24.571428571428573,27.047619047619047,24.095238095238095,21.0,24.857142857142858,26.761904761904763,25.714285714285715,23.142857142857142,28.61904761904762,28.761904761904763,26.238095238095237,22.333333333333332,23.61904761904762,21.19047619047619,25.19047619047619,25.571428571428573,25.571428571428573,23.523809523809526,24.285714285714285,26.0,24.952380952380953,23.333333333333332,27.0,26.047619047619047,24.19047619047619,24.523809523809526,25.095238095238095,23.857142857142858,24.333333333333332
11,23.666666666666668,26.714285714285715,26.38095238095238,23.80952380952381,23.61904761904762,24.666666666666668,26.142857142857142,23.523809523809526,23.238095238095237,28.61904761904762,28.285714285714285,24.333333333333332,24.142857142857142,24.476190476190474,23.80952380952381,24.571428571428573,25.523809523809526,22.904761904761905,24.0,26.476190476190474,24.80952380952381,24.80952380952381,23.857142857142858,27.047619047619047,25.095238095238095,23.19047619047619,22.19047619047619,24.857142857142858,22.571428571428573,24.428571428571427
12,22.285714285714285,25.047619047619047,26.095238095238095,25.523809523809526,23.142857142857142,22.952380952380953,26.095238095238095,24.0,24.476190476190474,27.38095238095238,31.238095238095237,25.476190476190474,24.61904761904762,25.047619047619047,20.476190476190474,23.857142857142858,25.142857142857142,23.666666666666668,21.571428571428573,26.095238095238095,24.857142857142858,25.666666666666668,24.523809523809526,26.476190476190474,25.523809523809526,23.238095238095237,24.857142857142858,26.285714285714285,21.80952380952381,23.142857142857142
13,24.428571428571427,25.19047619047619,25.61904761904762,24.857142857142858,22.666666666666668,25.333333333333332,27.523809523809526,23.857142857142858,24.095238095238095,27.095238095238095,31.047619047619047,24.238095238095237,23.333333333333332,24.952380952380953,23.38095238095238,26.61904761904762,24.952380952380953,22.952380952380953,22.761904761904763,23.952380952380953,24.904761904761905,26.095238095238095,24.904761904761905,27.761904761904763,25.095238095238095,24.714285714285715,23.80952380952381,23.333333333333332,23.61904761904762,23.857142857142858
14,23.61904761904762,26.571428571428573,25.80952380952381,24.38095238095238,25.333333333333332,26.857142857142858,26.285714285714285,22.095238095238095,23.666666666666668,27.857142857142858,29.714285714285715,25.238095238095237,25.38095238095238,25.38095238095238,21.80952380952381,24.666666666666668,24.238095238095237,22.80952380952381,23.61904761904762,24.38095238095238,25.238095238095237,26.095238095238095,22.0,24.761904761904763,26.238095238095237,23.19047619047619,23.571428571428573,25.047619047619047,25.0,24.904761904761905
15,25.0,23.61904761904762,24.952380952380953,23.714285714285715,21.666666666666668,24.952380952380953,26.857142857142858,24.238095238095237,23.0,27.0,30.047619047619047,25.761904761904763,22.714285714285715,25.0,21.095238095238095,25.761904761904763,24.857142857142858,25.142857142857142,22.904761904761905,26.047619047619047,24.857142857142858,24.0,23.333333333333332,26.952380952380953,26.238095238095237,24.714285714285715,24.952380952380953,23.476190476190474,22.19047619047619,24.142857142857142
16,26.047619047619047,26.761904761904763,24.095238095238095,23.761904761904763,21.476190476190474,25.904761904761905,24.38095238095238,24.80952380952381,22.38095238095238,26.285714285714285,28.428571428571427,26.666666666666668,22.80952380952381,26.80952380952381,22.428571428571427,25.238095238095237,23.904761904761905,25.238095238095237,23.666666666666668,28.952380952380953,26.333333333333332,23.952380952380953,21.952380952380953,28.428571428571427,24.476190476190474,26.476190476190474,24.428571428571427,24.80952380952381,23.80952380952381,24.333333333333332
17,26.80952380952381,25.38095238095238,26.904761904761905,23.857142857142858,24.0,23.666666666666668,26.80952380952381,24.80952380952381,24.61904761904762,29.523809523809526,31.714285714285715,24.904761904761905,24.952380952380953,24.38095238095238,25.0,26.0,28.095238095238095,23.0,24.19047619047619,23.61904761904762,23.38095238095238,27.666666666666668,24.238095238095237,28.61904761904762,24.714285714285715,22.61904761904762,25.571428571428573,25.952380952380953,25.571428571428573,24.095238095238095
18,25.0,26.19047619047619,25.571428571428573,22.857142857142858,24.19047619047619,25.142857142857142,28.047619047619047,22.904761904761905,23.38095238095238,27.952380952380953,30.285714285714285,24.571428571428573,21.142857142857142,24.285714285714285,21.0,23.476190476190474,26.285714285714285,23.714285714285715,22.333333333333332,28.333333333333332,25.761904761904763,26.047619047619047,24.333333333333332,24.047619047619047,26.238095238095237,23.142857142857142,24.952380952380953,25.80952380952381,24.523809523809526,24.142857142857142
19,25.428571428571427,27.285714285714285,26.142857142857142,22.714285714285715,22.80952380952381,26.238095238095237,26.714285714285715,24.428571428571427,25.0,29.19047619047619,32.04761904761905,23.714285714285715,24.952380952380953,25.80952380952381,21.80952380952381,22.857142857142858,24.714285714285715,23.19047619047619,22.666666666666668,26.0,23.523809523809526,25.428571428571427,22.904761904761905,25.476190476190474,25.428571428571427,24.0,23.142857142857142,25.714285714285715,24.523809523809526,24.19047619047619
