METHOD,PENALTY_MULTIPLIER,BETWEEN_SEASONS,SEGMENT_MEAN_BEFORE,SEGMENT_MEAN_AFTER,MEAN_CHANGE,PERMUTATION_P_VALUE,SIGNIFICANT_AT_0_05
Binary segmentation,2.0,2015-16 -> 2016-17,18.953713949914114,33.20427866960445,14.250564719690335,4.999750012499375e-05,True
Wild binary segmentation,2.0,2015-16 -> 2016-17,18.953713949914114,33.20427866960445,14.250564719690335,4.999750012499375e-05,True
