LAG,F_STATISTIC,P_VALUE,SIGNIFICANT_AT_0_05,SIGNIFICANT_AT_0_10,STATIONARITY_RESOLVED,N_DIFFERENCES_APPLIED
1,1.588248595370786,0.2336552991856094,False,False,True,1
2,4.668334695314289,0.04534164567549451,True,True,True,1
